flow_rate,current
6,78.394142661161
6,32.5983223253456
6,31.9285272529038
6,32.4262155198125
6,27.9353519808316
6,19.8068667011438
6,62.3215517223437
6,32.2555296797226
6,66.0257458789851
6,41.3799958496111
7,33.0483989435203
7,45.1234604039603
7,81.3368902882201
7,50.2669320732579
7,57.1880106499688
7,37.2482116426179
7,86.7232714677381
7,52.6073708838891
7,29.9675934547071
7,75.4420983194897
8,74.0079262295837
8,42.5961947254665
8,68.5512891342012
8,44.3505914553323
8,62.9975113061063
8,49.6117750570186
8,34.9820107890237
8,55.3146639882289
8,81.1517206079162
8,59.7868144897821
10,43.2039042979503
10,47.1645029255672
10,36.2104183251733
10,72.7715601658
10,44.2939152634567
10,92.9803936729026
10,89.2289963288214
10,57.8364727023201
10,89.6358412458614
10,87.8149919281191
9,23.1773197670137
9,30.9558674851166
9,31.1723332414085
9,85.343928860055
9,35.4233378373342
9,36.6041562401326
9,85.0910851679276
9,56.4686642604751
9,83.2644532247851
9,54.3649089605213
11,88.2221732316734
11,76.66427000258
11,44.5181518294601
11,88.9499783397107
11,80.5729751011391
11,32.9660126155888
11,64.9172403317487
11,87.5595716202919
11,95.743783478495
11,72.490964476563
12,57.2323089303587
12,57.0089577639446
12,76.4075336740324
12,67.2404741388035
12,64.7371409233341
12,60.0516568692525
12,84.4999712693288
12,54.425829326068
12,44.9301884019227
12,75.5406838970628
14,102.733090476172
14,-261.1869900327
14,98.9349142428827
14,62.4926687919763
14,104.215605366217
14,116.497304163708
14,47.7891207101287
14,44.5043818952437
14,91.6644496308839
14,52.0933475089601
16,119.93128535124
16,111.672061691919
16,98.8294204077891
16,82.311601402227
16,74.3600112181182
16,86.3605497134857
16,109.825623141954
16,122.507426077792
16,115.111530170406
16,91.8019592058853
18,81.715970379776
18,46.6435008113914
18,76.8439046521748
18,48.6947935724323
18,36.2893742539658
18,56.5362357009649
18,50.016179004947
18,84.9009973341212
18,100.066347338711
18,60.9561300186546
20,109.873484271372
20,102.456878119146
20,109.329619411729
20,88.9707440325914
20,44.445418292568
20,78.7396131732491
20,78.2400465207997
20,100.415808225411
20,58.1529454296369
20,38.5406668445431
22,-248.292897577893
22,98.2380773005288
22,84.6135498229952
22,91.4338387225002
22,110.231545546897
22,85.6928400300104
22,88.4905318283793
22,103.853054438456
22,114.845907569864
22,128.862641731662
21,-316.050723812534
21,86.0896296395235
21,-260.646723590609
21,-224.94040566014
21,119.143014673313
21,-165.24483128414
21,-268.340275230802
21,125.554675624637
21,-257.44381644026
21,-235.750418902589
15,48.0454056542639
15,61.8877547138963
15,50.9655747377042
15,-269.283846209828
15,57.3450724534257
15,77.8087605375385
15,-297.517840739026
15,-310.474102532666
15,-263.934375218577
15,-269.374346534055
17,-239.284982242874
17,116.500588757216
17,-265.949331707385
17,84.683822953684
17,111.280500240527
17,115.961940726689
17,68.6013901863762
17,58.332773575901
17,-324.245365068839
17,66.8585348320578
19,-355.925083074257
19,96.0675258813812
19,-276.133168412585
19,-288.703289181724
19,-299.719388419206
19,119.885960295872
19,64.1760509119599
19,-310.461183692382
19,-311.123723377007
19,-328.712255494196
23,91.0109833762499
23,95.8919155241379
23,131.168813609366
23,120.630752873832
23,78.1411622825195
23,78.7558043417068
23,78.7776065736501
23,116.664899449035
23,137.473583412164
23,-149.358232069661
24,-298.289202602533
24,130.5265427077
24,106.392001544259
24,113.776467789091
24,-191.121144358484
24,-163.898405073362
24,-185.828456545631
24,-174.638907842385
24,-201.501803399491
24,-197.987724381121
